id,marque,modele,annee,km,prix,carburant,transmission,couleur,ville,typeVendeur,datePublication,description
162,Honda,Civic,2020,39000,19500,ESSENCE,AUTOMATIQUE,Noir,Laval,PARTICULIER,2026-08-27,Modèle Sport avec jantes noires et échappement central.
163,Tesla,Model 3,2021,34000,36900,ELECTRIQUE,AUTOMATIQUE,Gris,Gatineau,CONCESSIONNAIRE,2026-09-11,Version avec volant chauffant et coffre électrique.
164,Ford,Escape,2020,53000,19900,ESSENCE,AUTOMATIQUE,Bleu,Sherbrooke,PARTICULIER,2026-08-15,"Facile à garer, tableau de bord intuitif."
165,BMW,Série 3,2019,56000,28500,ESSENCE,AUTOMATIQUE,Gris,Longueuil,CONCESSIONNAIRE,2026-09-04,"Modèle 330i xDrive, toit ouvrant panoramique."
166,Toyota,RAV4,2020,49000,26900,ESSENCE,AUTOMATIQUE,Noir,Trois-Rivieres,PARTICULIER,2026-08-20,"Couleur noire, carrosserie cirée deux fois par an."
167,Honda,CR-V,2019,65000,22900,ESSENCE,AUTOMATIQUE,Argent,Montreal,CONCESSIONNAIRE,2026-09-02,"Historique complet sans aucune surprise, à voir."
168,Hyundai,Elantra,2018,82000,13400,ESSENCE,AUTOMATIQUE,Rouge,Quebec,PARTICULIER,2026-08-07,Très économique à l'assurance pour jeune conducteur.
169,Tesla,Model Y,2022,25000,43900,ELECTRIQUE,AUTOMATIQUE,Blanc,Laval,CONCESSIONNAIRE,2026-09-12,Modèle Long Range avec jantes de 19 pouces d'origine.
170,Nissan,Rogue,2019,72000,16500,ESSENCE,AUTOMATIQUE,Gris,Gatineau,CONCESSIONNAIRE,2026-09-03,Livré avec deux ensembles de pneus presque neufs.
171,Volkswagen,Golf,2016,118000,11900,ESSENCE,AUTOMATIQUE,Blanc,Sherbrooke,PARTICULIER,2026-08-11,"Version 5 portes à hayon, espace de chargement surprenant."
172,Audi,A4,2019,59000,26500,ESSENCE,AUTOMATIQUE,Noir,Longueuil,CONCESSIONNAIRE,2026-09-06,"Version Progressiv bien équilibrée, cuir soigné."
173,Mazda,3,2021,28000,22200,ESSENCE,AUTOMATIQUE,Bleu,Trois-Rivieres,PARTICULIER,2026-08-23,Technologie de désactivation des cylindres pour économiser.
174,Kia,Forte,2020,41000,16700,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-01,Garantie d'usine transférable de 5 ans / 100 000 km.
175,Chevrolet,Bolt,2021,26000,24200,ELECTRIQUE,AUTOMATIQUE,Noir,Quebec,PARTICULIER,2026-08-17,Idéal pour éliminer totalement la facture d'essence.
176,Subaru,Impreza,2018,76000,15900,ESSENCE,AUTOMATIQUE,Rouge,Laval,CONCESSIONNAIRE,2026-09-04,Traction intégrale permanente symétrique très réputée.
177,Jeep,Grand Cherokee,2019,71000,28900,ESSENCE,AUTOMATIQUE,Gris,Gatineau,PARTICULIER,2026-08-13,Habitacle de luxe silencieux sur la grande route.
178,Toyota,Camry,2016,112000,14900,ESSENCE,AUTOMATIQUE,Blanc,Sherbrooke,CONCESSIONNAIRE,2026-09-05,Idéal pour de longues distances en grand confort.
179,Honda,Accord,2018,61000,21400,ESSENCE,AUTOMATIQUE,Argent,Longueuil,PARTICULIER,2026-08-18,"Sièges en cuir ventilés à l'avant, pas de tache."
180,Ford,F-150,2019,79000,33900,ESSENCE,AUTOMATIQUE,Bleu,Trois-Rivieres,CONCESSIONNAIRE,2026-09-10,Version Lariat tout cuir avec console centrale complète.
181,Toyota,Corolla,2016,115000,12900,ESSENCE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2026-07-20,"Fiable au quotidien, huile synthétique toujours utilisée."
182,Honda,Civic,2017,89000,15400,ESSENCE,AUTOMATIQUE,Bleu,Quebec,CONCESSIONNAIRE,2026-09-02,Version LX avec système de freinage automatique d'urgence.
183,Tesla,Model 3,2020,61000,31500,ELECTRIQUE,AUTOMATIQUE,Blanc,Laval,PARTICULIER,2026-08-09,Recharge effectuée presque uniquement à la maison (L2).
184,Ford,Escape,2018,94000,13800,ESSENCE,AUTOMATIQUE,Gris,Gatineau,CONCESSIONNAIRE,2026-09-01,Moteur 1.5L EcoBoost nerveux et économe.
185,BMW,Série 3,2016,122000,15900,ESSENCE,AUTOMATIQUE,Blanc,Sherbrooke,PARTICULIER,2026-07-31,"Toit ouvrant, volant sport en cuir, pneus hiver inclus."
186,Toyota,RAV4,2019,82000,22900,ESSENCE,AUTOMATIQUE,Argent,Longueuil,CONCESSIONNAIRE,2026-09-03,"Entretien fait à jour, freins et disques neufs."
187,Honda,CR-V,2018,96000,19900,ESSENCE,AUTOMATIQUE,Noir,Trois-Rivieres,PARTICULIER,2026-08-14,"Version LX bien soignée, tapis d'origine en tissu."
188,Hyundai,Elantra,2016,119000,8900,ESSENCE,MANUELLE,Gris,Montreal,PARTICULIER,2026-07-15,"Embrayage en bon état, économique pour le travail."
189,Tesla,Model Y,2021,46000,38900,ELECTRIQUE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-09-08,"Version à propulsion arrière, excellente autonomie réelle."
190,Nissan,Rogue,2018,95000,13900,ESSENCE,AUTOMATIQUE,Blanc,Laval,CONCESSIONNAIRE,2026-09-01,Grand hayon arrière facilitant le chargement.
191,Volkswagen,Golf,2015,142000,9200,ESSENCE,MANUELLE,Bleu,Gatineau,PARTICULIER,2026-07-12,"Amortisseurs neufs, bonne conduite dynamique."
192,Audi,A4,2018,88000,21500,ESSENCE,AUTOMATIQUE,Gris,Sherbrooke,PARTICULIER,2026-08-02,"Historique Carfax propre, aucun dommage antérieur."
193,Mazda,3,2020,55000,18200,ESSENCE,AUTOMATIQUE,Noir,Longueuil,CONCESSIONNAIRE,2026-09-05,Version GS avec volant chauffant et essuie-glaces auto.
194,Kia,Forte,2019,69000,14200,ESSENCE,AUTOMATIQUE,Argent,Trois-Rivieres,CONCESSIONNAIRE,2026-09-01,Garantie du groupe motopropulseur toujours en vigueur.
195,Chevrolet,Bolt,2020,53000,19200,ELECTRIQUE,AUTOMATIQUE,Blanc,Montreal,PARTICULIER,2026-07-28,Idéal comme deuxième véhicule de famille pour la ville.
196,Subaru,Impreza,2016,129000,10900,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-09-02,"Système AWD infaillible, pare-brise neuf sans éclat."
197,Jeep,Grand Cherokee,2018,104000,23900,ESSENCE,AUTOMATIQUE,Bleu,Laval,PARTICULIER,2026-08-04,Modèle Élevate avec jantes noires de 20 pouces de style.
198,Toyota,Camry,2015,152000,11900,ESSENCE,AUTOMATIQUE,Gris,Gatineau,CONCESSIONNAIRE,2026-09-04,"Berline intermédiaire confortable, très grand coffre."
199,Honda,Accord,2017,91000,16900,ESSENCE,AUTOMATIQUE,Blanc,Sherbrooke,PARTICULIER,2026-08-01,Modèle avec phares DEL automatiques et caméra de recul.
200,Ford,F-150,2018,124000,26500,ESSENCE,AUTOMATIQUE,Argent,Longueuil,CONCESSIONNAIRE,2026-09-09,Caisse protégée avec enduit pulvérisé ultra résistant.
201,Toyota,Corolla,2021,34000,21900,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-01,Modèle SE avec phares de jour DEL et accents sport.
202,Honda,Civic,2018,79000,16400,ESSENCE,AUTOMATIQUE,Gris,Quebec,PARTICULIER,2026-08-22,"Entretien des 80 000 km fait en avance, freins neufs."
203,Tesla,Model 3,2022,18000,41500,ELECTRIQUE,AUTOMATIQUE,Noir,Laval,CONCESSIONNAIRE,2026-09-10,Intérieur en cuir noir minimaliste en parfait état.
204,Ford,Escape,2019,65000,17900,ESSENCE,AUTOMATIQUE,Bleu,Gatineau,PARTICULIER,2026-08-14,"VUS compact agile, idéal pour le quotidien."
205,BMW,Série 3,2018,74000,25900,ESSENCE,AUTOMATIQUE,Blanc,Sherbrooke,CONCESSIONNAIRE,2026-09-05,Version d'allure sport avec suspension dynamique.
206,Toyota,RAV4,2021,26000,29900,HYBRIDE,AUTOMATIQUE,Argent,Longueuil,PARTICULIER,2026-08-19,Modèle très recherché pour son excellente valeur.
207,Honda,CR-V,2020,41000,26800,ESSENCE,AUTOMATIQUE,Noir,Trois-Rivieres,CONCESSIONNAIRE,2026-09-02,Écran tactile compatible Android Auto et Apple CarPlay.
208,Hyundai,Elantra,2018,72000,13900,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-01,"Zéro problème mécanique, dossiers d'entretien complets."
209,Tesla,Model Y,2023,11000,49500,ELECTRIQUE,AUTOMATIQUE,Gris,Quebec,PARTICULIER,2026-08-30,Vente suite à l'obtention d'un véhicule de fonction.
210,Nissan,Rogue,2020,42000,21400,ESSENCE,AUTOMATIQUE,Bleu,Laval,CONCESSIONNAIRE,2026-09-04,Régulateur de vitesse adaptatif intelligent inclus.
211,Volkswagen,Golf,2017,89000,14900,ESSENCE,AUTOMATIQUE,Gris,Gatineau,PARTICULIER,2026-08-08,"Compacte nerveuse, tenue de route de premier ordre."
212,Audi,A4,2020,44000,30900,ESSENCE,AUTOMATIQUE,Noir,Sherbrooke,CONCESSIONNAIRE,2026-09-07,Tableau de bord virtuel haute résolution d'Audi.
213,Mazda,3,2022,14000,24800,ESSENCE,AUTOMATIQUE,Rouge,Longueuil,PARTICULIER,2026-08-25,"Très faible kilométrage, odeur de neuf encore présente."
214,Kia,Forte,2021,24000,19500,ESSENCE,AUTOMATIQUE,Gris,Trois-Rivieres,CONCESSIONNAIRE,2026-09-03,Garantie globale transférable encore active.
215,Chevrolet,Bolt,2022,15000,27400,ELECTRIQUE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-01,Modèle à jour avec sièges chauffants avant et arrière.
216,Subaru,Impreza,2019,48000,18900,ESSENCE,AUTOMATIQUE,Noir,Quebec,PARTICULIER,2026-08-11,"Aucun accident, rapport de carrosserie impeccable."
217,Jeep,Grand Cherokee,2020,53000,33900,ESSENCE,AUTOMATIQUE,Argent,Laval,CONCESSIONNAIRE,2026-09-08,Système d'entrée sans clé avec bouton de démarrage.
218,Toyota,Camry,2018,76000,20500,ESSENCE,AUTOMATIQUE,Bleu,Gatineau,PARTICULIER,2026-08-05,"Conduite douce et silencieuse, aucun entretien à prévoir."
219,Honda,Accord,2019,45000,23900,ESSENCE,AUTOMATIQUE,Gris,Sherbrooke,CONCESSIONNAIRE,2026-09-02,Modèle Sport avec palettes de changement au volant.
220,Ford,F-150,2020,59000,37900,ESSENCE,AUTOMATIQUE,Noir,Longueuil,PARTICULIER,2026-08-28,Équipé d'un couvre-caisse rigide repliable de luxe.
221,Toyota,Corolla,2017,92000,14900,ESSENCE,AUTOMATIQUE,Noir,Trois-Rivieres,CONCESSIONNAIRE,2026-09-01,Système d'avertissement de sortie de voie inclus.
222,Honda,Civic,2016,118000,12400,ESSENCE,MANUELLE,Blanc,Montreal,PARTICULIER,2026-08-10,Idéal pour ceux qui préfèrent une boîte manuelle.
223,Tesla,Model 3,2019,74000,27900,ELECTRIQUE,AUTOMATIQUE,Gris,Quebec,CONCESSIONNAIRE,2026-09-04,Ordinateur de conduite entièrement autonome (FSD Payé).
224,Ford,Escape,2016,131000,9400,ESSENCE,AUTOMATIQUE,Argent,Laval,PARTICULIER,2026-07-20,Vendu avec des pneus d'été d'un seul été d'usure.
225,BMW,Série 3,2015,142000,11900,ESSENCE,AUTOMATIQUE,Noir,Gatineau,CONCESSIONNAIRE,2026-09-01,"Prix ajusté pour vente rapide, intérieur cuir noir propre."
226,Toyota,RAV4,2018,91000,20400,ESSENCE,AUTOMATIQUE,Bleu,Sherbrooke,PARTICULIER,2026-08-14,"Traction intégrale, idal pour affronter la neige."
227,Honda,CR-V,2017,112000,16900,ESSENCE,AUTOMATIQUE,Blanc,Longueuil,CONCESSIONNAIRE,2026-09-02,Spacieux et fiable pour les voyages en famille.
228,Hyundai,Elantra,2015,162000,6200,ESSENCE,MANUELLE,Gris,Trois-Rivieres,PARTICULIER,2026-07-05,Petite berline robuste à bas prix pour étudiant.
229,Tesla,Model Y,2020,68000,35900,ELECTRIQUE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2026-08-01,Pompe à chaleur pour de meilleures performances en hiver.
230,Nissan,Rogue,2016,134000,9900,ESSENCE,AUTOMATIQUE,Blanc,Quebec,CONCESSIONNAIRE,2026-09-01,Idéal pour les budgets serrés cherchant un VUS.
231,Volkswagen,Golf,2014,172000,6900,ESSENCE,MANUELLE,Gris,Laval,PARTICULIER,2026-06-25,Entretien fait par un amateur passionné de mécanique.
232,Audi,A4,2017,104000,17900,ESSENCE,AUTOMATIQUE,Bleu,Gatineau,CONCESSIONNAIRE,2026-09-03,"Traction Quattro, pneus d'été haute performance."
233,Mazda,3,2019,73000,16500,ESSENCE,AUTOMATIQUE,Noir,Sherbrooke,PARTICULIER,2026-08-09,"Système d'infodivertissement mis à jour, très réactif."
234,Kia,Forte,2018,89000,11900,ESSENCE,AUTOMATIQUE,Blanc,Longueuil,CONCESSIONNAIRE,2026-09-01,Voiture économique sans mauvaises surprises.
235,Chevrolet,Bolt,2019,72000,16900,ELECTRIQUE,AUTOMATIQUE,Bleu,Trois-Rivieres,PARTICULIER,2026-07-22,Autonomie affichée de 380 km en été sur une charge.
236,Subaru,Impreza,2015,149000,8900,ESSENCE,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2026-07-11,"Traction intégrale, pare-brise intact, freins ok."
237,Jeep,Grand Cherokee,2017,118000,20500,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-09-05,"Puissant moteur V6 Pentastar, très bien équipé."
238,Toyota,Camry,2014,192000,8900,ESSENCE,AUTOMATIQUE,Argent,Laval,PARTICULIER,2026-06-30,Confortable pour faire de la route tous les jours.
239,Honda,Accord,2016,121000,13900,ESSENCE,AUTOMATIQUE,Blanc,Gatineau,CONCESSIONNAIRE,2026-09-01,Modèle de luxe fiable avec toit ouvrant électrique.
240,Ford,F-150,2017,142000,21900,ESSENCE,AUTOMATIQUE,Noir,Sherbrooke,PARTICULIER,2026-07-29,Boîte de 6.5 pieds avec protecteur de plastique.
241,Toyota,Corolla,2022,22000,24500,ESSENCE,AUTOMATIQUE,Blanc,Longueuil,CONCESSIONNAIRE,2026-09-12,"Modèle sous garantie complète, état neuf."
242,Honda,Civic,2019,58000,18500,ESSENCE,AUTOMATIQUE,Noir,Trois-Rivieres,PARTICULIER,2026-08-20,Version EX avec toit ouvrant et entrée sans clé.
243,Tesla,Model 3,2021,39000,36500,ELECTRIQUE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-10,"Intérieur en cuir blanc, aucun frais d'entretien à prévoir."
244,Ford,Escape,2020,58000,19400,ESSENCE,AUTOMATIQUE,Gris,Quebec,PARTICULIER,2026-08-14,VUS moderne avec tableau de bord épuré.
245,BMW,Série 3,2020,42000,33900,ESSENCE,AUTOMATIQUE,Bleu,Laval,CONCESSIONNAIRE,2026-09-07,"Système d'affichage tête haute, cuir haut de gamme."
246,Toyota,RAV4,2021,33000,28500,ESSENCE,AUTOMATIQUE,Noir,Gatineau,CONCESSIONNAIRE,2026-09-04,"Modèle LE à traction intégrale, un seul propriétaire."
247,Honda,CR-V,2020,47000,25800,ESSENCE,AUTOMATIQUE,Argent,Sherbrooke,PARTICULIER,2026-08-18,"Sièges chauffants, climatisation automatique bizone."
248,Hyundai,Elantra,2019,62000,14500,ESSENCE,AUTOMATIQUE,Bleu,Longueuil,CONCESSIONNAIRE,2026-09-02,Régulateur de vitesse et caméra de recul de série.
249,Tesla,Model Y,2022,27000,43900,ELECTRIQUE,AUTOMATIQUE,Gris,Trois-Rivieres,PARTICULIER,2026-08-26,Excellente autonomie pour de longs trajets sans stress.
250,Nissan,Rogue,2021,31000,24200,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-05,Système de caméra à 360 degrés pour le stationnement.
251,Volkswagen,Golf,2017,99000,13800,ESSENCE,MANUELLE,Noir,Quebec,PARTICULIER,2026-08-09,"Conduite sportive, système audio de qualité."
252,Audi,A4,2020,52000,28900,ESSENCE,AUTOMATIQUE,Gris,Laval,CONCESSIONNAIRE,2026-09-06,"Phares adaptatifs à DEL, climatisation 3 zones."
253,Mazda,3,2022,16000,24500,ESSENCE,AUTOMATIQUE,Blanc,Gatineau,PARTICULIER,2026-08-21,"Comme neuve, tapis moulés d'hiver inclus."
254,Kia,Forte,2021,31000,18900,ESSENCE,AUTOMATIQUE,Noir,Sherbrooke,CONCESSIONNAIRE,2026-09-03,"Très propre, historique de service chez Kia."
255,Chevrolet,Bolt,2022,24000,24900,ELECTRIQUE,AUTOMATIQUE,Bleu,Longueuil,PARTICULIER,2026-08-12,Modèle compact idéal pour recharger la nuit au tarif bas.
256,Subaru,Impreza,2019,59000,17500,ESSENCE,AUTOMATIQUE,Argent,Trois-Rivieres,CONCESSIONNAIRE,2026-09-01,Sécurité absolue sous la pluie ou le verglas.
257,Jeep,Grand Cherokee,2021,46000,35900,ESSENCE,AUTOMATIQUE,Noir,Montreal,PARTICULIER,2026-08-29,Version Altitude avec calandre et accents noirs.
258,Toyota,Camry,2018,87000,18900,ESSENCE,AUTOMATIQUE,Gris,Quebec,CONCESSIONNAIRE,2026-09-05,"Grande berline d'une fiabilité légendaire, confortable."
259,Honda,Accord,2020,52000,23900,ESSENCE,AUTOMATIQUE,Blanc,Laval,PARTICULIER,2026-08-16,"Intérieur spacieux, conduite dynamique, très propre."
260,Ford,F-150,2021,43000,41900,ESSENCE,AUTOMATIQUE,Gris,Gatineau,CONCESSIONNAIRE,2026-09-11,Moteur EcoBoost de 3.5L avec ensemble remorquage max.
261,Toyota,Corolla,2018,94000,15200,ESSENCE,AUTOMATIQUE,Argent,Sherbrooke,PARTICULIER,2026-08-04,"Modèle de base fiable, freins avant neufs."
262,Honda,Civic,2015,141000,10500,ESSENCE,AUTOMATIQUE,Blanc,Longueuil,CONCESSIONNAIRE,2026-09-01,"Économique à l'usage, climatisation fonctionnelle."
263,Tesla,Model 3,2021,46000,34900,ELECTRIQUE,AUTOMATIQUE,Noir,Trois-Rivieres,PARTICULIER,2026-08-10,"Intérieur en simili-cuir noir, batterie en parfait état."
264,Ford,Escape,2017,109000,12300,ESSENCE,AUTOMATIQUE,Noir,Montreal,CONCESSIONNAIRE,2026-09-03,VUS d'occasion abordable pour tous les jours.
265,BMW,Série 3,2016,119000,15900,ESSENCE,AUTOMATIQUE,Gris,Quebec,PARTICULIER,2027-07-28,"Toit ouvrant, volant sport, pneus d'hiver inclus."
266,Toyota,RAV4,2019,85000,22500,ESSENCE,AUTOMATIQUE,Blanc,Laval,CONCESSIONNAIRE,2026-09-02,Traction intégrale intelligente pour nos hivers.
267,Honda,CR-V,2018,99000,19500,ESSENCE,AUTOMATIQUE,Noir,Gatineau,PARTICULIER,2026-08-11,"Un seul propriétaire, bien entretenu."
268,Hyundai,Elantra,2015,148000,7400,ESSENCE,MANUELLE,Bleu,Sherbrooke,CONCESSIONNAIRE,2026-09-01,Mécanique simple et entretien économique.
269,Tesla,Model Y,2022,32000,41900,ELECTRIQUE,AUTOMATIQUE,Blanc,Longueuil,PARTICULIER,2026-08-20,Très grand coffre avec sous-coffre pratique.
270,Nissan,Rogue,2017,122000,11900,ESSENCE,AUTOMATIQUE,Argent,Trois-Rivieres,CONCESSIONNAIRE,2026-09-01,Espace arrière spacieux pour les enfants.
271,Volkswagen,Golf,2015,158000,8400,ESSENCE,MANUELLE,Rouge,Montreal,PARTICULIER,2026-07-15,"Style classique à hayon, tenue de route agréable."
272,Audi,A4,2018,89000,20900,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-09-05,Système Quattro pour une sécurité optimale.
273,Mazda,3,2020,58000,17900,ESSENCE,AUTOMATIQUE,Gris,Laval,PARTICULIER,2026-08-01,Design épuré et excellente isolation sonore.
274,Kia,Forte,2019,72000,13900,ESSENCE,AUTOMATIQUE,Bleu,Gatineau,CONCESSIONNAIRE,2026-09-03,"Aucun historique d'accident, berline honnête."
275,Chevrolet,Bolt,2020,56000,18900,ELECTRIQUE,AUTOMATIQUE,Blanc,Sherbrooke,PARTICULIER,2026-07-25,Idéal pour les petits trajets quotidiens sans essence.
276,Subaru,Impreza,2016,134000,10500,ESSENCE,MANUELLE,Noir,Longueuil,CONCESSIONNAIRE,2026-09-01,Châssis rigide et conduite rassurante en hiver.
277,Jeep,Grand Cherokee,2018,108000,22900,ESSENCE,AUTOMATIQUE,Gris,Trois-Rivieres,PARTICULIER,2026-08-05,"VUS robuste tout équipé, sellerie cuir propre."
278,Toyota,Camry,2015,162000,10900,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-09-01,"Fiabilité exemplaire, aucun bruit de suspension."
279,Honda,Accord,2017,96000,15900,ESSENCE,AUTOMATIQUE,Argent,Quebec,PARTICULIER,2026-07-30,Habitacle confortable pour de longues distances.
280,Ford,F-150,2018,131000,24900,ESSENCE,AUTOMATIQUE,Noir,Laval,CONCESSIONNAIRE,2026-09-08,"Prêt pour le travail, intérieur en tissu robuste."
281,Toyota,Corolla,2021,39000,20900,ESSENCE,AUTOMATIQUE,Blanc,Gatineau,PARTICULIER,2026-08-15,"Économe et fiable au quotidien, sous garantie de base."
282,Honda,Civic,2018,84000,15900,ESSENCE,AUTOMATIQUE,Gris,Sherbrooke,CONCESSIONNAIRE,2026-09-05,Version LX avec banquette arrière rabattable.
283,Tesla,Model 3,2022,21000,40500,ELECTRIQUE,AUTOMATIQUE,Noir,Longueuil,PARTICULIER,2026-08-22,"Pompe à chaleur incluse, état général impeccable."
284,Ford,Escape,2019,69000,16900,ESSENCE,AUTOMATIQUE,Bleu,Trois-Rivieres,CONCESSIONNAIRE,2026-09-02,VUS de taille idéale pour stationner en ville.
285,BMW,Série 3,2018,79000,24900,ESSENCE,AUTOMATIQUE,Blanc,Montreal,PARTICULIER,2026-08-08,"Style sport élégant, conduite précise et réactive."
286,Toyota,RAV4,2021,29000,29500,HYBRIDE,AUTOMATIQUE,Argent,Quebec,CONCESSIONNAIRE,2026-09-04,Modèle XLE recherché pour son économie d'énergie.
287,Honda,CR-V,2020,45000,25900,ESSENCE,AUTOMATIQUE,Noir,Laval,PARTICULIER,2026-08-11,"Excellent état, toujours entretenu à la concession."
288,Hyundai,Elantra,2018,76000,13500,ESSENCE,AUTOMATIQUE,Blanc,Gatineau,CONCESSIONNAIRE,2026-09-01,"Parfait état de marche, freins arrières neufs."
289,Tesla,Model Y,2023,13000,48900,ELECTRIQUE,AUTOMATIQUE,Gris,Sherbrooke,PARTICULIER,2026-08-24,Tapis de sol moulés protecteurs inclus dans la vente.
290,Nissan,Rogue,2020,46000,20900,ESSENCE,AUTOMATIQUE,Bleu,Longueuil,CONCESSIONNAIRE,2026-09-03,Équipé de l'ensemble d'aide à la conduite.
291,Volkswagen,Golf,2017,94000,14500,ESSENCE,AUTOMATIQUE,Gris,Trois-Rivieres,PARTICULIER,2026-08-03,Boîte de vitesse automatique double embrayage rapide.
292,Audi,A4,2020,47000,29900,ESSENCE,AUTOMATIQUE,Noir,Montreal,CONCESSIONNAIRE,2026-09-06,Système d'infodivertissement MMI à écran tactile.
293,Mazda,3,2022,17000,24200,ESSENCE,AUTOMATIQUE,Rouge,Quebec,PARTICULIER,2026-08-18,"Très bien soignée, couleur éclatante au soleil."
294,Kia,Forte,2021,33000,18200,ESSENCE,AUTOMATIQUE,Gris,Laval,CONCESSIONNAIRE,2026-09-02,Garantie d'usine transférable toujours active.
295,Chevrolet,Bolt,2022,18000,26900,ELECTRIQUE,AUTOMATIQUE,Blanc,Gatineau,PARTICULIER,2026-08-05,Modèle de l'année avec intérieur redessiné.
296,Subaru,Impreza,2019,52000,18500,ESSENCE,AUTOMATIQUE,Noir,Sherbrooke,CONCESSIONNAIRE,2026-09-01,Sécurité absolue grâce à la traction intégrale.
297,Jeep,Grand Cherokee,2020,56000,32900,ESSENCE,AUTOMATIQUE,Argent,Longueuil,PARTICULIER,2026-08-14,Toit ouvrant panoramique et intérieur tout cuir.
298,Toyota,Camry,2018,79000,19900,ESSENCE,AUTOMATIQUE,Bleu,Trois-Rivieres,CONCESSIONNAIRE,2026-09-04,Confort de roulement exceptionnel sur autoroute.
299,Honda,Accord,2019,48000,23400,ESSENCE,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2026-07-28,Modèle Sport avec roues de 19 pouces d'origine.
300,Ford,F-150,2020,62000,36900,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-09-10,Version SuperCrew spacieuse avec marchepieds d'origine.
